Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
1750000,1.3460864,0.7555555555555555,112.25555555555556,0.26153475,0.75
1760000,1.3458573,0.5233050847457628,84.77966101694915,0.27421,0.5294117647058824
1770000,1.3460258,0.45357142857142857,77.07857142857142,0.26759642,0.4460431654676259
1780000,1.3459278,0.5397727272727273,100.02272727272727,0.26258567,0.550561797752809
1790000,1.3458021,0.48185483870967744,83.00806451612904,0.25299156,0.48185483870967744
1800000,1.3456713,0.4742647058823529,76.91911764705883,0.24891308,0.4742647058823529
1810000,1.3458447,0.5213414634146342,103.53658536585365,0.2631001,0.5213414634146342
1820000,1.3458143,0.6428571428571429,103.96938775510205,0.26028395,0.640625
1830000,1.345788,0.47877358490566035,85.0377358490566,0.26586536,0.4837962962962963
1840000,1.3458936,0.5277777777777778,113.91666666666667,0.26928347,0.525
1850000,1.3459269,0.5764925373134329,88.91044776119404,0.26395172,0.5772058823529411
1860000,1.3459154,0.4956140350877193,95.48245614035088,0.26304007,0.4955357142857143
1870000,1.345921,0.5291666666666667,83.975,0.25225955,0.5286885245901639
1880000,1.3458991,0.4733606557377049,69.00819672131148,0.2508764,0.475
1890000,1.34586,0.5138888888888888,80.61904761904762,0.26588252,0.5119047619047619
1900000,1.3458169,0.5753676470588235,78.91911764705883,0.26664388,0.5711678832116789
1910000,1.3457347,0.513671875,74.5625,0.26944607,0.5177165354330708
1920000,1.3456662,0.4724264705882353,60.095588235294116,0.26744565,0.4540441176470588
1930000,1.3456492,0.532258064516129,83.89516129032258,0.2697729,0.5515873015873016
1940000,1.3456378,0.5357142857142857,79.31746031746032,0.27101967,0.5357142857142857
1950000,1.3456137,0.4979508196721312,90.24590163934427,0.27004558,0.5041322314049587
1960000,1.3455843,0.5166666666666667,71.4,0.27500334,0.5103305785123967
1970000,1.3455664,0.6052631578947368,105.88157894736842,0.28175995,0.6052631578947368
1980000,1.3455658,0.5566037735849056,110.02830188679245,0.2741533,0.5566037735849056
1990000,1.3455718,0.465,88.61,0.2614235,0.46683673469387754
2000000,1.3455695,0.6513157894736842,98.07894736842105,0.26852456,0.6425438596491229
